message,Retweets,Favourites,Datetime,Label
.,5050,38215,01-09-2019 15:41,Imran Khan
On behalf of the people of Pakistan and myself I extend our warm wishes to the President and the people of Uzbekistan  on their 28th Independence Day.,6952,40890,01-09-2019 14:37,Imran Khan
https://t.co/SBIQ6UHrRD,4276,11630,31-08-2019 06:37,Imran Khan
https://t.co/QmjTDyaGVV,8028,25028,31-08-2019 06:37,Imran Khan
Reports in Indian and international media on Modi Govt's ethnic cleansing of Muslims should send alarm bells ringing across the world that the illegal annexation of Kashmir is part of a wider policy to target Muslims. https://t.co/QmjTDyaGVV,11955,30439,31-08-2019 06:03,Imran Khan
,8520,35486,30-08-2019 14:19,Imran Khan
RSS  BJP    (  ),4782,17387,30-08-2019 14:19,Imran Khan
As ambassador for the people of Kashmir I am going to expose the oppression & gross human rights violations of the fascist Modi regime against the brave Kashmiri people. The western world doesnt understand the RSS agenda inspired by Nazi Germany. https://t.co/SZ8F6t5CVL,16939,40145,30-08-2019 14:15,Imran Khan
"I am so proud of our people in the way they came out today in solidarity with the Kashmiris - letting them know our nation stands resolutely with them as they confront the brutal, fascist Modi govt's annexation & ethnic cleansing agenda in IOJK.  #KashmirHour",15215,55119,30-08-2019 13:22,Imran Khan
The Pakistani nation has also let the world know about the Nazi-style takeover of India by the RSS-BJP's Hindu Supremacist ideology & the danger it poses not only to the region but the world.,8365,27376,30-08-2019 13:22,Imran Khan
,4264,15616,29-08-2019 10:10,Imran Khan
24      /     /,4282,16142,29-08-2019 10:10,Imran Khan
12    12:30,8274,34642,29-08-2019 10:10,Imran Khan
We must send a strong message to Kashmiris that our nation stands resolutely behind them. So I am asking all Pakistanis for half an hour tomorrow stop whatever you are doing & come out on the road to show solidarity with the Kashmiri people.,6691,21953,29-08-2019 09:31,Imran Khan
"the daily injuring & killing of Kashmiri civilians, incl women & children - all part of the ethnic cleansing agenda of the Modi Govt. & it's illegal annexation of IOK. The plan to change demography of IOK is a war crime under 4th Geneva Convention.",6676,21759,29-08-2019 09:31,Imran Khan
"I want all Pakistanis to come out tomorrow 12 noon -12.30 pm to show solidarity with the Kashmiri people and send the Kashmiris in IOK a clear message that the entire Pakistani nation  stands in solidarity with them & against Indian fascist oppression, the inhumane 24-day curfew,",15935,58401,29-08-2019 09:31,Imran Khan
https://t.co/BYR2DqJdVv,6664,27830,25-08-2019 08:14,Imran Khan
"These colonial symbols which cost crores annually to the taxpayer in maintenance, are now going to make money for the government. https://t.co/MmsCAwxqnu",8843,33331,25-08-2019 07:51,Imran Khan
,6987,22857,23-08-2019 11:09,Imran Khan
I want to warn the international community that the Indian leadership will in all probability attempt a false flag operation to divert attention from its massive human rights violations & the  unleashing of a reign of terror in IOJK.,13992,37582,23-08-2019 09:01,Imran Khan
"We are hearing Indian media claims that some terrorists from Afghanistan have entered IOJK for terrorist activities, while others have entered India's southern regions. These claims are predictable to divert attention from India's ethnic cleansing & genocide agenda in IOJK.",18152,52130,23-08-2019 09:01,Imran Khan
,6796,23097,22-08-2019 05:56,Imran Khan
"The Indian Occupation Forces have even denied them their right to observe their religious practices, including Eid ul Azha. As the world shows solidarity for victims of violence based on religion & belief, it must also move to prevent an impending genocide of Kashmiris in IOK.",11375,33802,22-08-2019 05:16,Imran Khan
"Today, on the 1st International Day for Victims of Violence based on Religion or Belief, we call attention to the plight of millions of Kashmiris living under brutal Indian Occupation, abuse & violence, deprived of all fundamental rights & freedoms.",16443,51395,22-08-2019 05:16,Imran Khan
